Symbol,Name,lastsale,netchange,pctchange,share_volume,Nasdaq100_points,
ATVI,ActivisionBlizzardInc,64.51,0.97,1.53,5045734,.6,
ADBE,AdobeSystemsIncorporated,149.18,2.35,1.6,2179550,1.0,
AKAM,AkamaiTechnologiesInc.,48.72,1.04,2.18,1818519,.2,
ALXN,AlexionPharmaceuticalsInc.,140.29,1.95,1.41,1266845,.4,
GOOG,AlphabetInc.,959.11,9.61,1.01,1580769,2.9,
GOOGL,AlphabetInc.,973.72,8.91,0.92,2030809,2.3,
AMZN,Amazon.comInc.,961.35,4.95,0.52,2542904,2.1,
AAL,AmericanAirlinesGroupInc.,47.49,0,0,4901145,.0,
AMGN,AmgenInc.,186.45,0.99,0.53,3015823,.6,
ADI,AnalogDevicesInc.,86.17,0.53,0.62,1710871,.2,
AAPL,AppleInc.,154.12,0.84,0.55,26276592,3.8,
AMAT,AppliedMaterialsInc.,52.09,1.47,2.9,21003029,1.4,
ADSK,AutodeskInc.,112.26,0.81,0.73,2032879,.2,
ADP,AutomaticDataProcessingInc.,109.32,0.3,0.28,1225053,.1,
BIDU,BaiduInc.,247.69,6.41,2.66,3401748,1.5,
BIIB,BiogenInc.,313.12,3.12,1.01,1645722,.6,
BMRN,BioMarinPharmaceuticalInc.,93.07,0.1,0.11,874243,.0,
AVGO,BroadcomLimited,242.54,-0.4,-0.16,1730798,-.1,
CA,CAInc.,33.38,0.37,1.12,1319166,.1,
CELG,CelgeneCorporation,145.82,3.06,2.14,4324232,2.1,
CERN,CernerCorporation,71.32,0.54,0.76,1704400,.2,
CHTR,CharterCommunicationsInc.,363.42,2.47,0.68,1316402,.6,
CHKP,CheckPointSoftwareTechnologiesLtd.,114.02,1.65,1.47,743714,.2,
CTAS,CintasCorporation,144.28,1.51,1.06,937397,.1,
CSCO,CiscoSystemsInc.,33.63,0.28,0.84,14787983,1.2,
CTXS,CitrixSystemsInc.,76.82,0.125,0.16,901905,.0,
CTSH,CognizantTechnologySolutionsCorporation,72.54,0.4,0.55,1950569,.2,
CMCSA,ComcastCorporation,38.48,0.66,1.75,19181744,2.7,
COST,CostcoWholesaleCorporation,164.29,0.39,0.24,1850629,.2,
CSX,CSXCorporation,54.26,0.57,1.06,4575995,.5,
CTRP,Ctrip.comInternationalLtd.,52.74,-0.08,-0.15,2511185,.0,
XRAY,DENTSPLYSIRONAInc.,59.81,0.58,0.98,1103319,.1,
DISCA,DiscoveryCommunicationsInc.,21.29,-0.1,-0.47,2463689,.0,
DISCK,DiscoveryCommunicationsInc.,20.26,0.02,0.1,1665831,.0,
DISH,DISHNetworkCorporation,54.23,1.22,2.3,2145552,.2,
DLTR,DollarTreeInc.,86.82,1.14,1.33,1818159,.2,
EBAY,eBayInc.,38.46,0.73,1.93,9961546,.7,
EA,ElectronicArtsInc.,118.06,1.45,1.24,1742259,.4,
EXPE,ExpediaInc.,143.94,1.1,0.77,1421683,.1,
ESRX,ExpressScriptsHoldingCompany,63.32,0.25,0.4,3886139,.1,
FB,FacebookInc.,170.87,2.14,1.27,15337047,4.4,
FAST,FastenalCompany,45.58,-0.15,-0.33,2264664,.0,
FISV,FiservInc.,128.96,0.75,0.58,1220488,.1,
GILD,GileadSciencesInc.,81.02,0.11,0.14,13295387,.1,
HAS,HasbroInc.,97.67,0.66,0.68,933772,.1,
HSIC,HenryScheinInc.,81.99,1.13,1.4,1743271,.2,
HOLX,HologicInc.,36.69,0.04,0.11,5123138,.0,
IDXX,IDEXXLaboratoriesInc.,155.49,1.12,0.73,392285,.1,
ILMN,IlluminaInc.,199.2,0.2,0.1,581405,.0,
INCY,IncyteCorporation,116.74,3.6,3.18,2288502,.7,
INTC,IntelCorporation,38.08,0.25,0.66,23211379,1.0,
INTU,IntuitInc.,142.14,-0.17,-0.12,2564709,.0,
